ano,sentenca,cluster
1528,ja nam sam aquele mau julio que soia as vergonhas que passei com bernardo e necessario que lhas emende com outra mor honra,1
1528,character julio em quantas vergonhas me meteram meus pecados,0
1528,character julio nam fora eu antes morto que passar estas vergonhas que passei des que hoje sai desta casa ate gora,0
1528,a quem crera eu ou quando que ua molher tal vida passasse qual passa livia e tanto se enganasse um homem como se engana julio cousas nos contou ardelio cruezas miserias e vergonhas que so de lhas ouvirmos choramos,0
