ano,sentenca,cluster
1757,fale o mestre carambola que ainda nao disse ao que veio,0
1757,carambola ao mestre bisborrio eu cedo,0
1757,bisborrio fale o mestre carambola,0
1757,saem malandrino malacaz arturo bisborrio carambola oficiais mudos com os aprestes,1
1757,title a junta dos cabeleireiros personagens dona vária viuva dona léria filha dona chuxadeira filha alfarroba criada melcaqueta pai de dona varia malandrino parente malacaz cabeleireiro arturo aprendiz cabeleireiro bisborrio cabeleireiro carambola cabeleireiro sala com tres toucadores junto dos quais estarao sentadas dona vária dona léria e dona chuxadeira,1
1757,carambola o meu modo de inquirir tem muito diferente termo,0
